image,caption,name,price,English_name
https://stardewvalleywiki.com/mediawiki/images/c/cf/Quartz.png,石英,一种常见于洞穴和矿井里的纯净晶体,25,Quartz
https://stardewvalleywiki.com/mediawiki/images/7/74/Earth_Crystal.png,地晶,在地表附近发现的树脂状物质,50,Earth Crystal
https://stardewvalleywiki.com/mediawiki/images/e/ec/Frozen_Tear.png,泪晶,传说是由雪怪眼泪结成的晶体,75,Frozen Tear
https://stardewvalleywiki.com/mediawiki/images/5/5b/Fire_Quartz.png,火水晶,一种常见于熔岩附近的火红色晶体,100,Fire Quartz
https://stardewvalleywiki.com/mediawiki/images/6/6a/Emerald.png,绿宝石,一种亮绿色的珍贵宝石,250,Emerald
https://stardewvalleywiki.com/mediawiki/images/a/a2/Aquamarine.png,海蓝宝石,一种微微发亮的蓝绿色宝石,180,Aquamarine
https://stardewvalleywiki.com/mediawiki/images/a/a9/Ruby.png,红宝石,一种因其浓艳的颜色和美丽的光泽受人追捧的珍贵宝石,250,Ruby
https://stardewvalleywiki.com/mediawiki/images/2/2e/Amethyst.png,紫水晶,一种紫色的水晶,100,Amethyst
https://stardewvalleywiki.com/mediawiki/images/a/a5/Topaz.png,黄水晶,很常见，但是因为漂亮还是很有价值,80,Topaz
https://stardewvalleywiki.com/mediawiki/images/7/7e/Jade.png,翡翠,一种淡绿色的装饰石,200,Jade
https://stardewvalleywiki.com/mediawiki/images/e/ea/Diamond.png,钻石,一种稀有且贵重的宝石,750,Diamond
https://stardewvalleywiki.com/mediawiki/images/5/56/Prismatic_Shard.png,五彩碎片,一种来源未知的超稀有强力材料,2000,Prismatic Shard
https://stardewvalleywiki.com/mediawiki/images/6/6e/Tigerseye.png,虎眼石,它上面的金色的条纹使这块宝石拥有了温暖的光泽,275,Tigerseye
https://stardewvalleywiki.com/mediawiki/images/3/3c/Opal.png,猫眼石,它的内部结构导致它能够反射出彩虹的光辉,150,Opal
https://stardewvalleywiki.com/mediawiki/images/6/60/Fire_Opal.png,赤红猫眼石,一种非常罕见的猫眼石，它得名于它上面的红色斑点,350,Fire Opal
https://stardewvalleywiki.com/mediawiki/images/7/7c/Alamite.png,透闪石,它与众不同的荧光使它成为许多岩石收集爱好者的最爱,150,Alamite
https://stardewvalleywiki.com/mediawiki/images/9/98/Bixite.png,黑方石,黑色的金属矿石。有着四四方方的结构。,300,Bixite
https://stardewvalleywiki.com/mediawiki/images/a/aa/Baryte.png,重晶石,最好的重晶石看起来就像沙漠玫瑰,50,Baryte
https://stardewvalleywiki.com/mediawiki/images/6/6b/Aerinite.png,青泥石,这个晶石不可思议地轻,125,Aerinite
https://stardewvalleywiki.com/mediawiki/images/9/97/Calcite.png,方解石,这个黄色的水晶上有星星点点的荧光突起,75,Calcite
https://stardewvalleywiki.com/mediawiki/images/d/d4/Dolomite.png,白云石,有时会在珊瑚礁上出现，大部分时候是在水下火山附近。,300,Dolomite
https://stardewvalleywiki.com/mediawiki/images/a/aa/Esperite.png,硅钙石,受到激发后，这种晶石会发出明亮的绿色荧光,100,Esperite
https://stardewvalleywiki.com/mediawiki/images/4/4a/Fluorapatite.png,氟磷灰石,人类牙齿中含有少量的这种物质,200,Fluorapatite
https://stardewvalleywiki.com/mediawiki/images/5/54/Geminite.png,杰明石,出现时总是大量聚集在一起,150,Geminite
https://stardewvalleywiki.com/mediawiki/images/3/3f/Helvite.png,日光榴石,出现的时候总按三角形排列,450,Helvite
https://stardewvalleywiki.com/mediawiki/images/4/4b/Jamborite.png,绿水镍矿,这些晶石是如此紧密地排列在一起，以至于它们看起来都有些模糊了。,150,Jamborite
https://stardewvalleywiki.com/mediawiki/images/c/c3/Jagoite.png,铁铅矿,含有大量的小水晶，让它闪闪发光,115,Jagoite
